date,nav_per_unit,short_name
2024-09-05,79997.6,DCDS
2024-09-06,79241.66,DCDS
2024-09-09,79556.94,DCDS
2024-09-10,79189.04,DCDS
2024-09-11,78590.35,DCDS
2024-09-12,78587.15,DCDS
2024-09-13,78753.09,DCDS
2024-09-16,78768.84,DCDS
2024-09-17,77923.63,DCDS
2024-09-18,79036.86,DCDS
2024-09-19,79693.61,DCDS
2024-09-20,80079.46,DCDS
2024-09-23,80308.07,DCDS
2024-09-24,80023.92,DCDS
2024-09-25,80641.59,DCDS
2024-09-26,81247.28,DCDS
2024-09-27,81237.04,DCDS
2024-09-30,81033.19,DCDS
2024-10-01,81062.4,DCDS
2024-10-02,81167.73,DCDS
2024-10-03,80845.87,DCDS
2024-10-04,80009.49,DCDS
2024-10-07,79614.03,DCDS
2024-10-08,79806.61,DCDS
2024-10-09,79795.03,DCDS
2024-10-10,80418.86,DCDS
2024-10-11,80848.38,DCDS
2024-10-14,80971.24,DCDS
2024-10-15,80624.05,DCDS
2024-10-16,80378.14,DCDS
2024-10-17,80533.87,DCDS
2024-10-18,81095.12,DCDS
2024-10-21,80859.04,DCDS
2024-10-22,80447.73,DCDS
2024-10-23,79933.7,DCDS
2024-10-24,80078.9,DCDS
2024-10-25,79028.76,DCDS
2024-10-28,78960.95,DCDS
2024-10-29,79243.26,DCDS
2024-10-30,79769.56,DCDS
2024-10-31,79697.66,DCDS
2024-11-01,80184.75,DCDS
2024-11-04,79396.4,DCDS
2024-11-05,78776.76,DCDS
2024-11-06,78842.0,DCDS
2024-11-07,79820.11,DCDS
2024-11-08,79886.79,DCDS
2024-11-11,79667.13,DCDS
2024-11-12,79404.72,DCDS
2024-11-13,78926.13,DCDS
2024-11-14,79137.79,DCDS
2024-11-15,77986.68,DCDS
2024-11-18,77204.26,DCDS
2024-11-19,77018.13,DCDS
2024-11-20,75618.0,DCDS
2024-11-21,76243.03,DCDS
2024-11-22,77330.79,DCDS
2024-11-25,77302.84,DCDS
2024-11-26,77619.35,DCDS
2024-11-27,78020.61,DCDS
2024-11-28,78216.53,DCDS
2024-11-29,78447.36,DCDS
2024-12-02,79311.46,DCDS
2024-12-03,79319.82,DCDS
2024-12-04,79369.26,DCDS
2024-12-05,78878.81,DCDS
2024-12-06,80883.15,DCDS
2024-12-09,81032.36,DCDS
2024-12-10,81172.63,DCDS
2024-12-11,81152.92,DCDS
2024-12-12,80982.39,DCDS
2024-12-13,80770.39,DCDS
2024-12-16,80567.9,DCDS
2024-12-17,80770.71,DCDS
2024-12-18,80549.56,DCDS
2024-12-19,80779.16,DCDS
2024-12-20,80288.95,DCDS
2024-12-23,80543.95,DCDS
2024-12-24,80865.45,DCDS
2024-12-25,80821.26,DCDS
2024-12-26,81783.14,DCDS
2024-12-27,81600.04,DCDS
2024-12-30,81555.51,DCDS
2024-12-31,81619.28,DCDS
2025-01-02,81435.01,DCDS
2025-01-03,81428.67,DCDS
2025-01-06,80083.42,DCDS
2025-01-07,79351.3,DCDS
2025-01-08,79350.71,DCDS
2025-01-09,79547.0,DCDS
2025-01-10,79189.43,DCDS
2025-01-13,78085.47,DCDS
